RA,T1,T2,T3,T4,T5,T6
31,8,6,2,2.5,7,7.5
69,8,10,5,7.5,1,7.0
83,0,0,0,0,0,0
102,6.5,5.5,0,0,0,0
116,7,3,5,7.5,9.5,8.5
146,9,10,6.5,10,10,9
170,4.5,7,10,9,3,4.5
181,8,10,8,10,5.5,8.0
199,9,7,4,7.5,8,8.0
212,9,8,6,10,10,7.0
239,9.5,2,3.5,10,10,8.5
266,9.0,7,5,10,10,7.5
302,9.5,10,2,6.5,10,0
318,9.0,7,4,7.5,0,10
331,9.0,8,7,8.5,8.5,8.0
334,9.0,7,6,5,8.5,7.0
339,8,2,8,5,7,9
350,9.0,4,5,9,7,8.5
368,9.0,5.0,10,7.5,5.0,6.0
374,9.0,9,7,7.5,10,9.5
378,0,0,0,0,0,0
379,9.0,5.0,10,5,9.5,9.5
561,9.0,6.5,6,5,2.5,3.5
718,9.0,6.0,5,10,7.5,7.0
829,7.5,10,10,6,8.0,5.5
2114,9.5,10,10,5,10,9.5
2129,9.5,9,6.5,5,10,10
5348,9.0,7,5,8.5,9.5,6.0
5430,9.0,7,6,7.5,9.0,6.0
5884,8,3,0,0,0,0
5889,6.0,5.0,7,6.5,0,8.5
7954,6,2,1,0,0,1
9576,6.0,2,2,0,1,0
9628,0,0.0,,0,0,0
9752,9.0,3,5.5,5,2.0,7.0
9780,8.5,4,1,5,0,0
9804,9.0,4,5.5,8.5,9.5,5.0
9844,9.0,7,10,5,7.0,8.5
9846,9.5,6.0,8,7.5,9.0,8.0
9859,9.0,7,9.5,10,10,10
9868,9.5,7,5.5,7.5,8.5,9.0
9875,10,10,10,8.5,10,10
9880,9.5,8,3,10,10,10
9885,9.5,7,5,5,8.0,8.5
9896,8.5,7,6,10,8.0,7.5
9981,4.0,0,0,0,0,0
