RA,Part,T1,T2,T3,T4,T5,T6,T7,P1
282,0.5,5,10,6,6,10,8,10,5
292,0.5,10,10,10,10,10,10,10,8.3
295,0.5,10,8,10,10,10,4,10,9.5
299,0.5,10,9,10,8,7.5,7,9.5,2
300,0.5,10,10,10,10,10,10,10,9.5
303,0.5,10,10,10,9,9.5,2,3,3
313,0.5,5,1,10,11,10,8,10,8.8
560,0.5,4,10,4,10,3,0,10,5.8
955,0.5,10,9.5,10,8,0,5,10,4.5
956,0.5,10,11,4.5,10,0,6.5,9,3.5
1779,0.5,5,10,6,8.5,3,8,10,7
1810,0,0,6,0,0,0,0,0,0
1877,0.25,10,10,8,4,0,9,0,7.3
1879,0.5,7,9.0,10,3,6,8,10,6
1880,0,3,7.5,7,9,4,5,10,3.8
1892,0.5,10,7.0,10,8,0,6,9,6.5
1914,0.5,10,10,10,8,9,6,10,6.3
1949,0.5,4,9.5,10,7.5,4,8,7,5
2066,0.5,7,11,8,2,0,1,6,4.8
2119,0,5,8,4,3,6,2,6.5,0.8
2123,0,0,0,0,0,0,0,0,0
2728,0,10,10,4,5,10,9,10,3.8
2872,0.5,10,10,10,8,0,9,9.5,6.5
3228,0.5,10,8,6,10,0,9,10,2.8
4149,0.5,7,9.5,10,9,0,6,8,3.3
4459,0,5,9.0,0,4,0,1,0,0
4750,0,3,8,6,5,0,0,0,0.8
4843,0.25,5,10,6,7,0,8,3,3.5
4844,0.5,2,10,10,9,6,3,7.5,6.8
4847,0,5,0,0,0,0,0,0,0
4855,0.5,10,10,10,5,4,6,10,6.8
4878,0.5,10,10,10,10,8,9,9,7.5
4882,0,10,10,10,6,3,0,0,7.5
5946,0,8,10,9.5,3,0,0,0,4.8
6690,0,1,0,1,0,0,0,0,0
7200,0.25,10,10,10,6.5,0,0,6,6.8
7390,0.5,10,4,9,4,0,7,10,4
7653,0,10,10,7,7,0,7,0,0.3
7703,0.5,10,10,6,10,7.5,1,10,8.5
7838,0.5,4,10,7,4,1,6,10,3.5
7857,0.5,10,10,10,3,1,9,6,8.3
7920,0.25,4,10,9,3,0,5,9,4.8
8013,0.5,10,11,10,4,1,7,9,5
8649,0,10,2,0,0,0,0,0,0
8675,0.25,3,10,6,4,0,0,0,0
8683,0.5,10,4,10,4,6,3,8,4.5
8692,0.25,10,11,10,0,7,10,10,0
8695,0,2,6,3,7,0,0,0,0
8921,0,8,7,10,3,9,0,3,4.8
9309,0,10,9.5,7,0,0,0,0,0
9339,0,10,11,6,10,0,9,0,3.5
9739,0.25,10,9,10,10,5,6,0,7
9782,0.25,5,10,10,3,0,6,0,6.5
