date,lecture
08/17/21,Introdução ao método Bayesiano
08/20/21,Probabilidade subjetiva e apostas
08/24/21,Distribuição marginal e preditiva dos dados
08/27/21,Distribuição marginal e preditiva dos dados
08/31/21,Permutabilidade
09/03/21,Distribuições conjugadas
09/10/21,Distribuições conjugadas
09/14/21,Distribuições conjugadas
09/17/21,Revisão
09/21/21,Prova 1
09/24/21,Teoria da Decisão
09/28/21,Teoria da Decisão
10/01/21,Estimação pontual
10/04/21,Estimação pontual
10/08/21,Estimação intervalar
10/15/21,Testes de hipótese
10/19/21,Testes de hipótese
10/22/21,Testes de hipótese
10/26/21,Revisão
10/29/21,Prova 2
11/05/21,Modelos hierárquicos
11/09/21,Cadeias de Markov
11/12/21,Algoritmo de Metropolis-Hastings
11/16/21,Algoritmo de Gibbs
11/19/21,Princípios de Monte Carlo Hamiltoniano
11/23/21,Uso da linguagem Stan para modelagem Bayesiana
11/26/21,Tópicos especiais
