date,lecture
08/17/21,Introdução ao curso e revisão
08/20/21,Algoritmo de Metropolis-Hastings
08/24/21,Algoritmo de Gibbs
08/27/21,Aplicações de Metropolis-Hastings
08/31/21,Monte Carlo Hamiltoniano
09/03/21,Monte Carlo Hamiltoniano
09/10/21,Monte Carlo Trans-dimensional
09/14/21,Monte Carlo Trans-dimensional
09/17/21,Monte Carlo sequencial
09/21/21,Monte Carlo sequencial
09/24/21,Bayes Variacional
09/28/21,Bayes Variacional
10/01/21,Simulação Perfeita
10/04/21,Anulamento simulado
10/08/21,Método escore de Fisher
10/15/21,Método Delta
10/19/21,Algoritmo EM
10/22/21,Algoritmo EM
10/26/21,Testes de permutação
10/29/21,Testes de permutação
11/05/21,Jackknife
11/09/21,Bootstrap
11/12/21,Bootstrap
11/16/21,Validação cruzada
11/19/21,Validação cruzada
11/23/21,Tópicos especiais
11/26/21,Tópicos especiais
